,Team,University,Points
160,chi challengers esports,university of chichester,0.0
161,da cool kids,university of sheffield,0.0
162,bot gang,university of sussex,0.0
163,cut3r,university of cambridge,0.0
164,de_nuke_defenders,oxford brookes university,0.0
165,team choir of angels,university of leeds,0.0
166,roehampton hydras 2,roehampton university,0.0
167,keele krakens b,keele university,0.0
168,nott gonna get a kill,university of nottingham,0.0
169,novas with attitude,university of warwick,0.0
170,we couldnt agree on a name,university of derby,0.0
171,team4nchester,university of manchester,0.0
172,666ix,cardiff university,0.0
173,aston angels csgo,aston university,0.0
174,watt are you doing,heriot watt university,0.0
175,essex esports,university of essex,0.0
176,flying scouser,university of liverpool,0.0
177,eating huel,coventry university,0.0
178,ucrackedl,university college london,0.0
179,we_tried,imperial college london,0.0
180,warwick w0lves 2,university of warwick,0.0
181,qubread,queens university belfast,0.0
182,shu money crew,sheffield hallam university,0.0
183,team c,brunel university,0.0
184,yorkbyte,university of york,0.0
185,uwe sea stags orange,university of the west of england,0.0
186,uea eagles,university of east anglia,0.0
187,durham disasters,durham university,0.0
188,pinnk,cardiff university,0.0
189,longjohns silvers,loughborough university,0.0
190,warwick ducks,university of warwick,150.0
191,b r i z b o y s,university of bristol,127.0
192,no one is safe,university of southampton,116.0
193,ucl instant reflex,university college london,108.0
194,lancastervortex,lancaster university,100.0
195,blood bath,university of bath,92.0
196,durham dog,durham university,84.0
197,uop paladins,university of portsmouth,76.0
198,kcl lions 2021,kings college london,68.0
199,cambridge dota,university of cambridge,60.0
200,imperial bonobos,imperial college london,52.0
201,warwick shmucks,university of warwick,47.0
202,sheffield shockwave,university of sheffield,43.0
203,xd,university of nottingham,39.0
204,stags dota,university of st andrews,35.0
205,surrey_rubix,university of surrey,31.0
206,sheffield samurai,university of sheffield,28.0
207,bangor_brewmasters,bangor university,27.0
208,lidl gaming,university of leeds,26.0
209,uwe sea stags,university of the west of england,24.0
210,bluejays uea,university of east anglia,23.0
211,trent thunder dota pink,nottingham trent university,22.0
212,uni of glasgow,university of glasgow,20.0
213,ucl aftershock,university college london,19.0
214,sussy sharks,university of sussex,18.0
215,royal bears,royal holloway university of london,17.0
216,simperial,imperial college london,16.0
217,skybath mages,university of bath,15.0
218,brums of endurance,university of birmingham,14.0
219,swasnea vibe,swansea university,13.0
220,b r i z b o y s 2,university of bristol,12.0
221,sand kings college 2021,kings college london,11.0
222,maxs team,university of liverpool,10.0
223,notverypoggers,university of nottingham,9.0
224,cardiff immortals,cardiff university,8.0
225,strathclyde stranglers,university of strathclyde,7.0
226,staffordshire stampede,staffordshire university,6.0
227,northumbria vikings dota,northumbria university,6.0
228,lancasterhurricane,lancaster university,5.0
229,xero tolerance for year 2,university of warwick,5.0
230,lincolns sphere,university of lincoln,4.0
231,notidehunterpls,university of lincoln,4.0
232,exeter 2022,university of exeter,3.0
233,cambridge university noob team,university of cambridge,3.0
234,watt wyverns,heriot watt university,2.0
235,sheffield shrimp sashimi with soy sauce,university of sheffield,2.0
236,cardiff crusaders ii,cardiff university,1.0
237,team hades,university of abertay dundee,1.0
238,found the ward,brunel university,0.0
239,lsu dota,loughborough university,0.0
240,team hair transplant reborn,university of york,0.0
241,dmu t1,de montfort university,145.0
242,ed edd n eddy,university of birmingham,132.5
243,vanix black temp,staffordshire university,123.0
244,linken shangsheng,university of lincoln,123.0
245,uom t1,university of manchester,115.0
246,grandpa zileans not nuel,university of nottingham,111.0
247,university of leeds,university of leeds,105.0
248,uol arctic foxes,university of liverpool,105.0
249,keele krakens,keele university,97.0
250,the durham defenders,durham university,97.0
251,whats nse,university of sheffield,91.0
252,mmu minotaurs team 1,manchester metropolitan university,87.0
253,nacl reformed,newcastle university,81.0
254,salty slugs,university of sheffield,81.0
255,watt wyverns,heriot watt university,69.0
256,bingbingbang,keele university,69.0
257,lancaster retirement home,lancaster university,69.0
258,mad men,university of leeds,69.0
259,staffordshire london rampage,staffordshire university,59.0
260,trentthunderpink,nottingham trent university,55.0
261,astonapeslol,aston university,50.0
262,already washed up,loughborough university,50.0
263,viayeman,newcastle university,44.0
264,isthisnuel,university of derby,44.0
265,the salford lions,university of salford,44.0
266,uea bluejays v2,university of east anglia,44.0
267,strathclyde,university of strathclyde,39.0
268,uoy team1,university of york,37.0
269,bsu,lancaster university,34.0
270,degen g,university of leicester,34.0
271,the krusty krab,university of manchester,29.0
272,mighty novelty crabs,sheffield hallam university,29.0
273,salad fingers,university of salford,29.0
274,monkey noises,loughborough university,29.0
275,kfc,lancaster university,27.0
276,st andrews university gaming mega allies,university of st andrews,26.0
277,naajun bad boys,university of birmingham,26.0
278,vanix esports pink,staffordshire university,26.0
279,ceos,sheffield hallam university,24.0
280,dondadedondaiputitinthehonda,university of glasgow,24.0
281,team implode,university of lincoln,24.0
282,aston archangels,aston university,24.0
283,northumbria vikings,northumbria university,22.0
284,bang tidy,bangor university,21.0
285,abertay jade,university of abertay dundee,20.0
286,three imposters,edge hill university,20.0
287,smeg hill lol,edge hill university,19.0
288,ncl gamers,newcastle university,19.0
289,uea hawks v2,university of east anglia,19.0
290,hull hornets,university of hull,19.0
291,lancaster minions x,lancaster university,17.0
292,ivern republic of birmingham,university of birmingham,17.0
293,sheffilled,university of sheffield,16.0
294,ladcaster,lancaster university,16.0
295,derby raptors team 2,university of derby,15.0
296,durham dairylea dunkers,durham university,15.0
297,xlerated lemons,loughborough university,14.0
298,falmouth phoenix,fxu (falmouth & exeter student's union),14.0
299,jonnys juicers,university of lincoln,13.0
300,parent diff,university of leeds,13.0
301,jungle gap,liverpool john moores university,12.0
302,dmu t2,de montfort university,12.0
303,l9,university of leicester,11.0
304,vicious vipers,university of manchester,11.0
305,0161 dons,university of manchester,10.0
