,Team,University,Points
714,staffs sasquatches,staffordshire university,29.0
715,manchester hive,university of manchester,29.0
716,the roybois,nottingham trent university,27.0
717,edinburgh eclipse rl,university of edinburgh,26.0
718,mmu minotaurs,manchester metropolitan university,26.0
719,teesside insurgency,teesside university,26.0
720,aston archangels,aston university,24.0
721,botts,university of nottingham,24.0
722,slugsss,university of sheffield,24.0
723,newcastle nobles,newcastle university,24.0
724,trent pegs,nottingham trent university,21.0
725,shuting stars,sheffield hallam university,21.0
726,staffordshire shifters,staffordshire university,21.0
727,mtw,university of lincoln,21.0
728,edge hill rl,edge hill university,19.0
729,abertay astronauts,university of abertay dundee,19.0
730,loughborough clangers,loughborough university,19.0
731,higgs bosons,university of leeds,19.0
732,leic is more,university of leicester,17.0
733,manchester bees,university of manchester,17.0
734,uea kiwis,university of east anglia,16.0
735,eboracum esports,york st john university,16.0
736,derb,university of derby,15.0
737,lboro dis and coke,loughborough university,15.0
738,trent salt collectors,nottingham trent university,14.0
739,bangor university team 2,bangor university,14.0
740,loughborough ive had one too many,loughborough university,13.0
741,nothing but trent,nottingham trent university,13.0
742,siiuuugs,university of sheffield,12.0
743,stags a,university of st andrews,12.0
744,i barely know her,bangor university,11.0
745,fit trent lads,nottingham trent university,11.0
746,staffordshire samurais,staffordshire university,10.0
747,skillleic,university of leicester,10.0
748,manchester hornets,university of manchester,9.0
749,even better better york pun name,university of york,9.0
750,newcastle nightmares,newcastle university,8.0
751,glasgow grizzlies,university of glasgow,8.0
752,glasgow grizzlies b,university of glasgow,7.0
753,team e loughborough,loughborough university,7.0
754,aston angels,aston university,6.0
755,net6 and chill,durham university,6.0
756,watt are you doing,heriot watt university,6.0
757,nobles,newcastle university,6.0
758,rocketayers,university of abertay dundee,5.0
759,even better york pun name,university of york,5.0
760,sheffield lions,university of sheffield,5.0
761,aston guardians,aston university,5.0
762,steven skeeleberg,keele university,4.0
763,qub white tigers,queens university belfast,4.0
764,gruea,university of east anglia,4.0
765,abertay aces,university of abertay dundee,3.0
766,uob pitstops,university of birmingham,3.0
767,all stars,university of lincoln,2.0
768,nott a save,university of nottingham,2.0
769,trenthehe,nottingham trent university,1.0
770,keele kings,keele university,1.0
771,loughborough f,loughborough university,0.0
772,trentboys,nottingham trent university,0.0
773,teesside team b,teesside university,0.0
774,manchester swarm,university of manchester,0.0
775,fc carcelona,university of sheffield,0.0
776,even betterer york pun name,university of york,0.0
777,clueleic,university of leicester,0.0
778,loughborough longshots,loughborough university,0.0
779,sheffield tricksters,university of sheffield,0.0
780,the trentlemen,nottingham trent university,0.0
781,bronze bois,university of leeds,0.0
782,beckett dtecs,leeds beckett university,0.0
783,the very best york pun name,university of york,0.0
784,ehu overcommit squad,edge hill university,0.0
785,uob snobs,university of birmingham,0.0
786,useleic,university of leicester,0.0
787,uea celestials,university of east anglia,0.0
788,watt a save,heriot watt university,0.0
789,ball is strife,university of liverpool,0.0
790,pending team name,university of lincoln,0.0
791,nice shottingham,university of nottingham,0.0
792,ysj jets,york st john university,0.0
793,team joe,durham university,0.0
794,uea macaws,university of east anglia,0.0
795,portsmouth paladins,university of portsmouth,145.0
796,warwick portsmouth paladins,university of warwick,132.5
797,bournemouth stars,bournemouth university,126.0
798,essex blades,university of essex,119.5
799,uwe seastags black,university of the west of england,115.0
800,bournemouth barracudas v2,bournemouth university,109.0
801,reading knights,university of reading,109.0
802,southampton saver menu,university of southampton,101.0
803,sussex sharks,university of sussex,101.0
804,rockenteers,university of kent,95.0
805,warwick inappropriate,university of warwick,91.0
806,royal bears,royal holloway university of london,85.0
807,brighton babes v3,university of brighton,85.0
808,bath azure,university of bath,75.0
809,exeterminators,university of exeter,75.0
810,portsmouth potatoes,university of portsmouth,75.0
811,infamous swansea,swansea university,65.0
812,aber apes,aberystwyth university,65.0
813,bath bombs,university of bath,59.0
814,cambridge ravens,university of cambridge,55.0
815,ic trees of green,imperial college london,50.0
816,uwe seastags red,university of the west of england,50.0
817,cardiff crusaders,cardiff university,44.0
818,oxford brookes vipers team 7,oxford brookes university,44.0
819,roe exodia,roehampton university,44.0
820,sussex sawsharks,university of sussex,44.0
821,kent kings,university of kent,36.0
822,soton silly sausages,university of southampton,36.0
823,chicken tikka surrey,university of surrey,36.0
824,essex soundcloud rappers,university of essex,36.0
825,hertfordshire hares,university of hertfordshire,29.0
826,portsmouth pancakes,university of portsmouth,29.0
827,ruskin ravens black,anglia ruskin university,29.0
828,bath cerulean,university of bath,27.0
829,glad i didnt go to brunel,brunel university,26.0
830,sotonsonic legends,university of southampton,26.0
831,universally challenged,university of southampton,26.0
832,warwick corner boost over ball,university of warwick,24.0
833,bunda,bournemouth university,24.0
834,coventry phoenix rl,coventry university,24.0
835,ic skies of blue,imperial college london,24.0
836,oxford brookes vipers team 6,oxford brookes university,21.0
837,warwick subsonic legends,university of warwick,21.0
838,discardiff,cardiff university,21.0
839,falmouth phoenix,fxu (falmouth & exeter student's union),21.0
840,westminster dragons,university of westminster,19.0
841,im the reason shes your exe,university of exeter,19.0
842,portsmouth pillocks,university of portsmouth,19.0
843,reading knights b,university of reading,19.0
844,surrey stags 21,university of surrey,17.0
845,the powerpuff girls,university of surrey,17.0
846,three muskenteers,university of kent,16.0
847,reading knights c,university of reading,16.0
848,bristol beests,university of bristol,15.0
849,warwick whats the magic word,university of warwick,15.0
850,bath ducks,university of bath,14.0
851,queen marys gambit,queen mary university of london,14.0
852,royal bears academy,royal holloway university of london,13.0
853,uwe seastags white,university of the west of england,13.0
854,warwick justice for smiley faces,university of warwick,12.0
855,kingston kriminals,kingston university,12.0
856,northampton gorillas,university of northampton,11.0
857,sotonstation gaming,university of southampton,11.0
858,sussex kitefins,university of sussex,10.0
859,winchester warriors,university of winchester,10.0
860,zero skill,swansea university,9.0
861,high octane,university of warwick,8.0
862,plymouth conga eels,university of plymouth,7.0
863,portsmouth parsnips,university of portsmouth,6.0
864,no u,oxford university,6.0
865,swansea value,swansea university,5.0
866,abracadabra thank god for code o conduct,university of warwick,5.0
867,bristol rocket bees,university of bristol,4.0
868,carbridge,university of cambridge,4.0
869,essex katanas,university of essex,3.0
870,ic nut,imperial college london,3.0
871,middlesex mafia green,middlesex university,2.0
872,uwe seastags blue,university of the west of england,2.0
873,valiant paladin,university of surrey,1.0
874,portsmouth prawns,university of portsmouth,1.0
875,boosted,swansea university,5.0
876,oxford brookes vipers team 1,oxford brookes university,5.0
877,uwe sea stags green,university of the west of england,4.0
878,brunel bottlers,brunel university,4.0
879,better than nothing,cardiff university,3.0
880,ruskin ravens purple,anglia ruskin university,3.0
881,ic orbitals,imperial college london,2.0
882,the swansea oblivion,swansea university,2.0
883,gsoc stirling wolves,university of stirling,1.0
884,ruskin ravens pink,anglia ruskin university,1.0
885,the trentlemen,nottingham trent university,0.0
886,trenttrebo,nottingham trent university,0.0
887,sussex threshers,university of sussex,0.0
888,bronze bois,university of leeds,0.0
889,ruskin ravens red,anglia ruskin university,0.0
890,beckett dtecs,leeds beckett university,0.0
891,roe celestia,roehampton university,0.0
892,roe celestia,roehampton university,0.0
893,the very best york pun name,university of york,0.0
894,portsmouth pistachios,university of portsmouth,0.0
895,ehu overcommit squad,edge hill university,0.0
896,uob snobs,university of birmingham,0.0
897,useleic,university of leicester,0.0
898,uea celestials,university of east anglia,0.0
899,watt a save,heriot watt university,0.0
900,ic team 5,imperial college london,0.0
901,pending team name,university of lincoln,0.0
902,aberiginals,aberystwyth university,0.0
903,cambs carballers,university of cambridge,0.0
904,nice shottingham,university of nottingham,0.0
905,brunel bottlers b team,brunel university,0.0
906,portsmouth persian melons,university of portsmouth,0.0
907,ysj jets,york st john university,0.0
908,team joe,durham university,0.0
909,essex eliminators,university of essex,0.0
910,uea macaws,university of east anglia,0.0
911,no match scheduled,university of warwick,0.0
912,bongos,northumbria university,150.0
913,ucl team s,university college london,140.0
914,oxford brookes vipers,oxford brookes university,135.0
915,warwick dire wolves,university of warwick,130.0
916,brunel,brunel university,127.0
917,abertay university a team,university of abertay dundee,124.0
918,bombers,lancaster university,121.0
919,brexeter,university of exeter,115.0
920,kcl lions,kings college london,115.0
921,staffs london rampage,staffordshire university,111.0
922,gfuel gangsters,brunel university,111.0
923,nottinghams trenches,nottingham trent university,107.0
924,burnin v2,staffordshire university,107.0
925,clark kent,university of kent,103.0
926,birmingham bulls,university of birmingham,103.0
927,keele krakens a,keele university,99.0
928,uwe sea stags,university of the west of england,99.0
929,we lost our advantej,university of southampton,95.0
930,bath util players,university of bath,95.0
931,team cardiff,cardiff university,91.0
932,chichester valorant,university of chichester,91.0
933,the mighty stags,university of hertfordshire,87.0
934,vanix esports,staffordshire university,87.0
935,warwicks neighbours from hell,coventry university,84.0
936,portsmouth paladins,university of portsmouth,82.0
937,roehampton yetis,roehampton university,80.0
938,soohaengs team,loughborough university,78.0
939,watt wyverns,heriot watt university,76.0
940,big schmulers,manchester metropolitan university,74.0
941,royal mix,royal holloway university of london,72.0
942,swansea academy,swansea university,70.0
943,uea bluejays,university of east anglia,68.0
944,reading knights a,university of reading,66.0
945,durham defenders,durham university,64.0
946,newcastle lions a,newcastle university,62.0
947,stags free trial,university of hertfordshire,60.0
948,cardiff crusaders,cardiff university,58.0
949,aber fist wyth,aberystwyth university,56.0
950,mews marauders,university of manchester,54.0
951,uoy 1s,university of york,52.0
952,bcu1,birmingham city university,50.0
953,royal bears val,royal holloway university of london,49.0
954,edinburgh eclipse,university of edinburgh,48.0
955,slugs,university of sheffield,47.0
956,leeds team 1,university of leeds,46.0
957,smeg hill,edge hill university,45.0
958,essex valorant,university of essex,44.0
959,south bank elephants valorant team a,london south bank university,43.0
960,dmmortals,de montfort university,42.0
961,stags,university of st andrews,41.0
962,kcl orange,kings college london,40.0
963,no aim no brain,bournemouth university,39.0
964,northumbria vikings,northumbria university,38.0
965,flexeter,university of exeter,37.0
966,ljmu valo a,liverpool john moores university,36.0
967,noble notts,university of nottingham,35.0
968,unlucky really,lancaster university,34.0
969,portsmouth plonkers,university of portsmouth,33.0
970,warwick dire woives jr,university of warwick,32.0
971,bath onlysubs,university of bath,31.0
972,mmu team 1,manchester metropolitan university,30.0
973,sussex sharks a,university of sussex,29.0
974,cardiff met archers,cardiff metropolitan university,29.0
975,aston angels,aston university,28.0
976,middlesex mafia red,middlesex university,28.0
977,brunel spitfire,brunel university,28.0
978,uea kingfishers,university of east anglia,27.0
979,aston archangels,aston university,27.0
980,bristol bagels,university of bristol,27.0
981,falmouth phoenix gold,fxu (falmouth & exeter student's union),26.0
982,surrey stags,university of surrey,26.0
983,swansea dropouts,swansea university,26.0
984,gintijas giga gang,university of southampton,25.0
985,trent thunder pink,nottingham trent university,25.0
986,zentinels,loughborough university,25.0
987,keele krakens b,keele university,24.0
988,ate,university college london,24.0
989,teesside a,teesside university,24.0
990,caledonian chargers val,glasgow caledonian university,23.0
991,staffordshire simps,staffordshire university,23.0
992,svge red,university of southampton,23.0
993,uwe sea stags black,university of the west of england,22.0
994,oxford val,oxford university,22.0
995,poor effort,cardiff university,22.0
996,queen marys gambit,queen mary university of london,21.0
997,reconcilable whiffs,university of bath,21.0
998,roseus regnum,lancaster university,21.0
999,green bombers,lancaster university,20.0
1000,watt are you doing in my swamp,heriot watt university,20.0
1001,birmingham balls,university of birmingham,20.0
1002,nottin her dms,university of nottingham,20.0
1003,queens gambit,queen mary university of london,19.0
1004,roehampton assassins,roehampton university,19.0
1005,ulster unicorns valorant,ulster university,19.0
1006,durham dynasty,durham university,19.0
1007,qub theta,queens university belfast,18.0
1008,fuego,oxford brookes university,18.0
1009,kasbahpeek,coventry university,18.0
1010,stoke stabbers,staffordshire university,18.0
1011,kentz,university of kent,17.0
1012,skenglem,sheffield hallam university,17.0
1013,stirling gsoc,university of stirling,17.0
1014,bu barracudas,bournemouth university,17.0
1015,cambridge cavalry,university of cambridge,16.0
1016,darkhorse,university of manchester,16.0
1017,rejexeter,university of exeter,16.0
1018,we should be diamond,university of essex,16.0
1019,aston guardians,aston university,15.0
1020,kcl yellow,kings college london,15.0
1021,staffs london rampage 2nd,staffordshire university,15.0
1022,team u3a,university of east anglia,15.0
1023,west london wyverns,university of west london,14.0
1024,boosted bonobos,cardiff university,14.0
1025,placeholder_name_uoleicvalorantteam1,university of leicester,14.0
1026,roehampton phantoms,roehampton university,14.0
1027,dr1pdr1p,university of warwick,13.0
1028,aston daemons,aston university,13.0
1029,bcu2,birmingham city university,13.0
1030,manneh,manchester metropolitan university,13.0
1031,plymouth leviathans,university of plymouth,12.0
1032,reading knights b,university of reading,12.0
1033,among us happy meal at 3 am,university of hertfordshire,12.0
1034,northampton gorillas a,university of northampton,12.0
1035,bath spa head clickers,bath spa university,11.0
1036,bunch of kents,university of kent,11.0
1037,kcl green,kings college london,11.0
1038,starks,university of leeds,11.0
1039,uol val,university of lincoln,10.0
1040,b r i z b o y s,university of bristol,10.0
1041,parabellum,loughborough university,10.0
1042,sussex sharks 2,university of sussex,10.0
1043,warwick wherewolves,university of warwick,9.0
1044,zaapbro esport,university of nottingham,9.0
1045,qub iota,queens university belfast,9.0
1046,bu stanut,bournemouth university,8.0
1047,south bank elephants valorant team b,london south bank university,8.0
1048,washed nottingham,university of nottingham,8.0
1049,portsmouth pythons,university of portsmouth,7.0
1050,bcu3,birmingham city university,7.0
1051,we win these,queen mary university of london,7.0
1052,100 burglars,loughborough university,7.0
1053,armada,loughborough university,6.0
1054,birmingham bells,university of birmingham,6.0
1055,bt2,brunel university,6.0
1056,shio kosho,university of kent,6.0
1057,westminster dragons,university of westminster,6.0
1058,svge orange,university of southampton,6.0
1059,swansea singularity,swansea university,6.0
1060,middlesex mafia crimson,middlesex university,5.0
1061,astonapesvalorant,aston university,5.0
1062,aber academy,aberystwyth university,5.0
1063,bangor valorant team,bangor university,5.0
1064,city team c,city university of london,5.0
1065,group zero,staffordshire university,5.0
1066,the liabilities of leicester,university of leicester,5.0
1067,trent thunder 2,nottingham trent university,5.0
1068,coventry mlg 69 420 all stars,coventry university,4.0
1069,hallowed empire,de montfort university,4.0
1070,ljmu valo b,liverpool john moores university,4.0
1071,northampton gorillas b,university of northampton,4.0
1072,nuel casual team,university of warwick,3.0
1073,portsmouth pioneers,university of portsmouth,3.0
1074,slugs 2,university of sheffield,3.0
1075,southampton shadows,university of southampton,3.0
1076,blood bath,university of bath,2.0
1077,ic dead people,imperial college london,2.0
1078,team dot exe,university of exeter,2.0
1079,trinity youre welcome,leeds trinity university,2.0
1080,valorant vikings,university of york,1.0
1081,deprexeter,university of exeter,1.0
1082,impasta,imperial college london,1.0
1083,newcastle lions b,newcastle university,1.0
1084,surrey not sorry,university of surrey,0.0
1085,surrey not sorry,university of surrey,0.0
1086,bope,royal holloway university of london,0.0
1087,seeny beenies,kings college london,0.0
1088,uwe sea stags red,university of the west of england,0.0
1089,uosesports,university of suffolk,0.0
1090,yoru mains,bournemouth university,0.0
1091,wolves of whiff street,university of leeds,0.0
1092,kcl white ligers,kings college london,0.0
1093,killjoy simps,university college london,0.0
1094,nottcases,university of nottingham,0.0
1095,abertay university b,university of abertay dundee,0.0
1096,essex team 3,university of essex,0.0
1097,plymouth leviathans c team,university of plymouth,0.0
1098,sorrey,university of surrey,0.0
1099,uea canaries,university of east anglia,0.0
1100,dmu pingu,de montfort university,0.0
1101,falmouth phoenix black,fxu (falmouth & exeter student's union),0.0
1102,keele krakens c,keele university,0.0
1103,marshallonly,university of manchester,0.0
1104,understags,university of hertfordshire,0.0
1105,uwe sea stags white,university of the west of england,0.0
1106,btech chi,university of chichester,0.0
1107,cosmic crunch,loughborough university,0.0
1108,hull hornets,university of hull,0.0
1109,mango uom,university of manchester,0.0
1110,swansea sandstorm,swansea university,0.0
1111,mango uom,university of manchester,0.0
1112,avro,lancaster university,0.0
1113,bedford bulls,university of bedfordshire,0.0
1114,coventry ember,coventry university,0.0
1115,qm silver smurfers,queen mary university of london,0.0
1116,sussex sharks 3,university of sussex,0.0
1117,turbolow troopers,cardiff university,0.0
1118,chi stingers,university of chichester,0.0
1119,durham dodgers,durham university,0.0
1120,qm silver smurfersss,queen mary university of london,0.0
1121,trojans,university of liverpool,0.0
1122,whiffers cult,university of manchester,0.0
1123,btec sentinels,brunel university,0.0
1124,btec sentinels,brunel university,0.0
1125,bu shorty,bournemouth university,0.0
1126,bristol team 3,university of bristol,0.0
1127,silver sentinels,royal holloway university of london,0.0
1128,uoy 5s,university of york,0.0
1129,kcl grey,kings college london,0.0
1130,roehampton chimeras,roehampton university,0.0
1131,bronze 1 gatekeepers,swansea university,0.0
1132,teesside b,teesside university,0.0
1133,derby rams,university of derby,0.0
1134,aston prophets,aston university,0.0
1135,south bank elephants valorant team c,london south bank university,0.0
1136,uni linc val 2,university of lincoln,0.0
1137,essex esports,university of essex,0.0
1138,lincoln uni team 3 toe shooters,university of lincoln,0.0
1139,sotonblue,university of southampton,0.0
1140,azros angels,newcastle university,0.0
1141,kentinels,university of kent,0.0
1142,portsmouth penguins,university of portsmouth,0.0
1143,we see red,imperial college london,0.0
1144,squidward,coventry university,0.0
1145,salford lions,university of salford,0.0
