HE provider,First year marker,Level of study,Mode of study,Category marker,Category,Female Students
The University of Liverpool,All,All,All,Sex,Female,16275
The University of Manchester,All,All,All,Sex,Female,22350
The University of Northampton,All,All,All,Sex,Female,7510
The University of Oxford,All,All,All,Sex,Female,12855
The University of Portsmouth,All,All,All,Sex,Female,12295
The University of Reading,All,All,All,Sex,Female,10240
The University of Salford,All,All,All,Sex,Female,11740
The University of Sheffield,All,All,All,Sex,Female,16050
The University of Southampton,All,All,All,Sex,Female,12100
The University of St Andrews,All,All,All,Sex,Female,6195
The University of Stirling,All,All,All,Sex,Female,8075
The University of Strathclyde,All,All,All,Sex,Female,12510
The University of Sunderland,All,All,All,Sex,Female,9555
The University of Surrey,All,All,All,Sex,Female,9055
The University of Sussex,All,All,All,Sex,Female,10785
The University of the West of Scotland,All,All,All,Sex,Female,10545
The University of Warwick,All,All,All,Sex,Female,13595
The University of West London,All,All,All,Sex,Female,7185
The University of Westminster,All,All,All,Sex,Female,11650
The University of Winchester,All,All,All,Sex,Female,5305
The University of Wolverhampton,All,All,All,Sex,Female,11760
The University of York,All,All,All,Sex,Female,11035
Total,All,All,All,Sex,Female,1398835
Total,All,All,All,Sex,Female,100880
Total,All,All,All,Sex,Female,79400
Total,All,All,All,Sex,Female,225080
Total,All,All,All,Sex,Female,60200
Total,All,All,All,Sex,Female,139030
Total,All,All,All,Sex,Female,34725
Total,All,All,All,Sex,Female,154140
Total,All,All,All,Sex,Female,202405
Total,All,All,All,Sex,Female,96320
Total,All,All,All,Sex,Female,76805
Total,All,All,All,Sex,Female,117685
Total,All,All,All,Sex,Female,112165
Total,All,All,All,Sex,Female,1133160
Trinity Laban Conservatoire of Music and Dance,All,All,All,Sex,Female,830
Ulster University,All,All,All,Sex,Female,16250
University College Birmingham,All,All,All,Sex,Female,3310
University College London,All,All,All,Sex,Female,24525
University for the Creative Arts,All,All,All,Sex,Female,4420
University of Bedfordshire,All,All,All,Sex,Female,9690
University of Chester,All,All,All,Sex,Female,9285
University of Cumbria,All,All,All,Sex,Female,5230
University of Derby,All,All,All,Sex,Female,11755
University of Durham,All,All,All,Sex,Female,10560
University of Gloucestershire,All,All,All,Sex,Female,4735
University of Hertfordshire,All,All,All,Sex,Female,14065
University of London (Institutes and activities),All,All,All,Sex,Female,210
University of Northumbria at Newcastle,All,All,All,Sex,Female,14850
University of Nottingham,All,All,All,Sex,Female,19080
University of Plymouth,All,All,All,Sex,Female,10870
University of South Wales,All,All,All,Sex,Female,12735
University of St Mark and St John,All,All,All,Sex,Female,1410
University of Suffolk,All,All,All,Sex,Female,5530
"University of the Arts, London",All,All,All,Sex,Female,15160
University of the Highlands and Islands,All,All,All,Sex,Female,6135
"University of the West of England, Bristol",All,All,All,Sex,Female,16765
University of Wales Trinity Saint David,All,All,All,Sex,Female,7340
University of Worcester,All,All,All,Sex,Female,7030
Writtle University College,All,All,All,Sex,Female,600
York St John University,All,All,All,Sex,Female,4490
