We couldnt agree on a name,University of Derby,2
Trent Thunder Diamond,Nottingham Trent University,1
Derbados,University Of Derby,1
Lboro Lions,Loughborough University,1
Blades V2,University Of Essex,1
,,
UCl Instant Reflex,University College London,150
Warwick Ducks,University Of Warwick,127
Blood Bath,University Of Bath,116
B R I Z B O Y S,University Of Bristol,108
Lancaster Vortex,Lancaster University,100
Sheffield Samurai,University Of Sheffield,92
xD,University Of Nottingham,84
Durham Dog,Durham University,76
,,
UoP Paladins,University Of Portsmouth,68
UWE Sea Stags,University Of The West Of England,60
Cambridge Dota,University Of Cambridge,52
Lidl gaming,University Of Leeds,47
StAGS Dota,University Of St Andrews,43
Imperial Bonobos,Imperial College London,39
Warwick Shmucks,University Of Warwick,35
B R I Z B O Y S 2,University Of Bristol,31
KCL Lions 2021,Kings College London,28
LSU DOTA,Loughborough University,27
UCL AfterShock,University College London,26
Simperial,Imperial College London,24
,,
,,
Trent Thunder Dota Pink,Nottingham Trent University,23
Bluejays UEA,University of East Anglia,22
Uni of Glasgow,University Of Glasgow,20
Royal Bears,Royal Holloway University Of London,19
Sheffield Shockwave,University Of Sheffield,18
Surrey_Rubix,University of Surrey,17
Lancaster Hurricane,Lancaster University,16
Xero Tolerance for year 2,University Of Warwick,15
Skybath Mages,University of Bath,14
Sand Kings College 2021,Kings College London,13
Northumbria Vikings Dota,Northumbria University,12
Swasnea Vibe,Swansea University,11
Cambridge University Noob Team,University Of Cambridge,10
NoTidehunterPls,University Of Lincoln,9
Lincolns Sphere,University Of Lincoln,8
Brums of Endurance,University Of Birmingham,7
,,
,,
Sussy Sharks,University Of Sussex,6
NotVeryPoggers,University Of Nottingham,6
Staffordshire stampede,Staffordshire University,5
Maxs Team,University Of Liverpool,5
Sheffield Shrimp Sashimi with Soy Sauce,University Of Sheffield,4
Found the ward,Brunel University,4
Cardiff Crusaders II,Cardiff University,3
Strathclyde Stranglers,University Of Strathclyde,3
Team Hair Transplant Reborn,University Of York,2
Cardiff Immortals,Cardiff University,2
Watt Wyverns,Heriot Watt University,1
Team Hades,University Of Abertay Dundee,1
,,
Grey Warwick,University of Warwick,150
DMU T1,De Montfort University,140
UoM T1,University Of Manchester,135
Keele Krakens,Keele University,130
KCL Lions,Kings College London,123
Lowhampton,Roehampton University,123
Konrads Kids,University Of Bath,123
Deus Exe,University Of Exeter,123
,,
Linken shangsheng,University Of Lincoln,116
ViAyeMan,Newcastle University,114
Kardiff Kittens,Cardiff University,111
UoL Arctic Foxes,University Of Liverpool,111
Royal Bears,Royal Holloway University Of London,105
UCL DJJ,University College London,105
EXE Machina,University Of Exeter,105
Surrey Wardens,University Of Surrey,105
Grandpa Zileans Not NUEL,University Of Nottingham,97
Salad Fingers,University Of Salford,97
False Facade,Queen Mary University Of London,97
Swansea Tsunami,Swansea University,97
Grey Warwick Academy,University Of Warwick,92
Whats NSE,University Of Sheffield,90
Scrambled Fanclub,University Of Kent,87
Lancaster Retirement Home,Lancaster University,87
Bristol Warriors,University Of Bristol,81
UCL Blew,University College London,81
The Salford Lions,University Of Salford,81
Coventry Blaze,Coventry University,81
AstonApesLOL,Aston University,69
Rift Assassins,University Of Sussex,69
Vanix Black Temp,Staffordshire University,69
FPX ACADEMY,University Of The Arts London,69
Trent Thunder Pink,Nottingham Trent University,69
University of Leeds,University Of Leeds,69
IsThisNUEL,University Of Derby,69
BSU,Lancaster University,69
,,
,,
,,
The Durham Defenders,Durham University,59
KFC,Lancaster University,55
Team Implode,University Of Lincoln,50
UEA Bluejays V2,University of East Anglia,50
Already Washed Up,Loughborough University,44
Strathclyde,University Of Strathclyde,44
Naajun Bad Boys,University Of Birmingham,44
St Andrews University Gaming Mega Allies,University Of St Andrews,44
,,
Mad Men,University Of Leeds,39
DeGen G,University Of Leicester,37
Salty Slugs,University Of Sheffield,34
monkey noises,Loughborough University,34
L9 Whirlpool1337,Loughborough University,29
The Krusty Krab,University Of Manchester,29
