University,Rank,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash,Valorant,TFT,Racing,UFG,Total Students,Male Students,Female Students,First Years,Not First Years
Imperial College London,32,499,155,63,128,0,31,75,16,23,3,0,5,19400,6680,4475,4245,6910
Oxford Brookes University,33,473,13,0,0,28,107,34,2,202,2,75,10,16900,895,1435,905,1455
University of Salford,34,455,0,0,186,0,12,185,60,12,0,0,0,21500,8475,10240,8340,10395
University of Sussex,35,447,61,6,121,6,0,134,0,106,0,10,3,19395,1335,1410,1310,1445
Bournemouth University,36,434,120,0,6,52,0,178,7,71,0,0,0,17390,455,1820,1040,1245
Brunel University,37,429,90,4,21,0,26,0,93,104,0,59,32,15520,8090,9265,7255,10135
University of Essex,38,407,95,0,26,24,10,205,0,39,0,0,8,16530,13525,21765,14965,20410
University of Surrey,39,386,61,17,142,28,16,68,0,35,0,9,10,16990,1335,1410,1310,1445
University of Cambridge,40,367,102,62,71,65,0,44,1,17,0,5,0,21340,1480,1620,1600,1500
Queens University Belfast,41,353,127,0,0,0,134,56,3,29,4,0,0,24915,9840,11815,10485,11180
University of Liverpool,42,325,4,5,111,4,108,81,0,5,0,0,7,29600,7540,8875,7105,9315
Heriot Watt University,43,314,52,1,32,11,53,47,0,118,0,0,0,11155,665,1330,870,1120
Aston University,44,309,76,0,90,2,3,26,0,93,0,0,19,15385,9995,16700,12270,14445
University of Abertay Dundee,45,299,0,1,46,95,43,4,0,110,0,0,0,4280,200,260,155,310
University of Glasgow,46,284,135,20,29,39,8,26,8,0,0,19,0,32465,12410,14475,11850,15085
University of Chichester,47,269,133,0,14,21,40,0,0,60,0,1,0,5545,10470,14245,11230,13485
Liverpool John Moores University,48,258,36,0,26,0,0,91,0,105,0,0,0,25050,1595,3370,2270,2715
University of Leicester,49,238,0,0,45,6,60,109,2,16,0,0,0,16180,14370,21935,15565,20765
University of Hertfordshire,50,227,0,0,85,0,12,29,0,56,0,39,6,25520,12710,19270,15865,16600
Manchester Metropolitan University,51,223,65,0,10,14,72,6,0,3,7,0,46,33420,7370,9460,8090,8750
Birmingham City University,52,215,15,0,17,31,0,126,0,0,21,1,4,26930,4955,6445,5775,5650
FXU,53,212,130,0,5,14,0,24,0,38,0,1,0,6245,6300,7630,6265,7670
Sheffield Hallam University,54,209,36,0,16,0,0,55,30,50,0,2,20,30960,445,440,345,540
University of Strathclyde,55,195,129,3,44,0,0,0,0,0,0,19,0,24330,10285,12735,10550,12540
De Montfort University,56,190,10,0,160,0,2,0,3,6,2,7,0,29000,3450,1375,2740,2085
Northumbria University,57,182,0,12,0,56,17,0,0,70,17,0,10,28325,13375,14650,12370,15700
Queen Mary University of London,58,181,0,0,103,0,0,11,0,50,16,0,1,21665,1160,3955,2210,2920
University of Derby,59,178,3,0,83,26,0,59,0,4,3,0,0,19685,10470,14245,11230,13485
University of Edinburgh,60,176,20,0,0,0,84,29,0,43,0,0,0,35375,6545,8805,7895,7460
London South Bank University,61,170,0,0,0,0,0,0,54,42,0,74,0,16840,335,755,680,415
University of St Andrews,62,160,0,43,63,6,0,0,0,48,0,0,0,10535,7530,10870,7480,10930
Teesside University,63,150,4,0,0,10,2,75,1,29,0,0,29,19290,335,755,555,545
Bangor University,64,149,21,0,25,17,16,32,13,22,0,0,3,9945,8000,7385,5730,9655
University of Plymouth,65,147,0,0,49,52,0,3,10,33,0,0,0,18410,4550,7510,6000,6060
Aberystwyth University,66,137,20,0,9,0,17,5,1,83,2,0,0,7720,2220,2060,1565,2715
University of Northampton,67,121,28,0,9,14,0,15,18,35,0,0,2,12060,18135,22350,17670,22815
Glasgow Caledonian University,68,116,33,0,0,33,21,0,0,25,0,0,4,17540,2545,3635,2475,3770
University of Westminster,69,116,7,0,2,10,0,0,20,26,6,0,45,19470,13915,16765,12680,18005
Oxford University,70,110,0,0,30,3,0,10,21,28,11,0,7,25910,895,1435,905,1455
