Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Valorant,Smash (Teams),TFT Oct,Smash Oct,UFG Tekken,GT Championship,F1 2020 Championship,F1 2020 Championship
77,University Of Central Lancashire,35,0,0,0,0,0,0,0,0,0,30,0,5,0,0
78,Oxford University,32,0,0,4,0,0,28,0,0,0,0,0,0,0,0
79,University of Greenwich,32,0,0,0,0,0,0,0,0,0,0,0,32,0,0
80,Teesside University,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0
81,University Of Aberdeen,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0
82,University of Dundee,21,0,0,0,3,0,0,0,0,18,0,0,0,0,0
83,Robert Gordon University,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0
84,University of Sunderland,17,0,0,6,0,1,3,0,0,7,0,0,0,0,0
85,Ulster University,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0
86,"City, University Of London",12,0,0,0,0,0,0,0,0,0,0,0,0,12,0
87,Bath Spa University,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0
88,Birmingham City University,9,0,0,3,6,0,0,0,0,0,0,0,0,0,0
89,Anglia Ruskin University,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0
90,Leeds Conservatoire,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0
91,Wrexham Glyndwr University,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
92,University of Winchester,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
93,Southampton Solent University,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
94,University of Bedfordshire,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
95,Queen Margaret University,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
96,University Of West London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,University of Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,University of Westminster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,School Of Oriental And African Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"St George's, University of London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
