Rank,University,Total,Winter,Spring,CS:GO,Dota 2,League of Legends,Hearthstone,Overwatch,Rainbow 6,Rocket League,Valorant,Smash (Teams),Smash Singles,TFT,UFG Tekken,GT,F1 2020,Rally
68,Birmingham City University,167,158,9,65,0,4,0,17,0,77,2,0,0,2,0,0,0,0
69,University Of Chester,162,104,58,0,0,0,0,0,4,0,88,0,58,0,0,12,0,0
70,Cardiff Metropolitan University,159,38,121,0,0,0,0,0,0,91,68,0,0,0,0,0,0,0
71,York St John University,148,71,77,35,0,31,0,61,0,0,0,6,5,0,0,0,10,0
72,University of Northampton,144,49,95,0,0,67,0,42,0,2,0,0,33,0,0,0,0,0
72,University of Edinburgh,144,97,47,29,0,0,4,47,0,36,0,0,0,28,0,0,0,0
74,University of Sunderland,120,103,17,0,0,10,0,2,69,3,24,0,2,10,0,0,0,0
75,University of Strathclyde,93,0,93,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0
76,University of the Arts London,74,8,66,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
77,Glasgow Caledonian University,73,33,40,4,0,51,0,0,10,0,0,0,0,8,0,0,0,0
78,Teesside University,67,40,27,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
79,London School of Economics,61,0,61,0,52,0,0,0,0,0,0,0,0,9,0,0,0,0
80,Oxford University,45,13,32,0,0,4,12,0,0,29,0,0,0,0,0,0,0,0
81,Robert Gordon University,42,24,18,0,0,0,0,0,0,36,0,0,0,6,0,0,0,0
82,University Of Central Lancashire,36,1,35,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0
83,University of Greenwich,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
83,University Of West London,32,32,0,0,0,0,0,0,18,0,10,4,0,0,0,0,0,0
85,University of Huddersfield,27,27,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0
86,University of Dundee,25,4,21,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0
87,University Of Aberdeen,24,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
88,University of Winchester,23,20,3,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0
88,University of Westminster,23,23,0,0,0,0,0,0,0,0,0,2,7,14,0,0,0,0
90,Leeds Conservatoire,18,13,5,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0
91,School Of Oriental And African Studies,17,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
92,Bath Spa University,15,5,10,0,0,0,0,0,0,10,0,0,2,0,0,0,3,0
93,Ulster University,12,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
93,"City, University Of London",12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
95,Southampton Solent University,8,6,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
96,Anglia Ruskin University,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
97,Wrexham Glyndwr University,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
98,"St George's, University of London",3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
99,University of Bedfordshire,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
99,Queen Margaret University,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
