Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash (Teams),Valorant,TFT Oct,Smash Oct,GT Championship,F1 2020 Championship,UFG- Melty,UFG- Guilty,UFG - Tekken
23,University of Kent,648,47,0,104,19,64,163,45,160,0,22,0,24,0,0,0
24,University of Leeds,630,91,47,148,54,173,114,0,3,0,0,0,0,0,0,0
25,Cardiff University,602,139,5,128,50,72,46,0,136,4,0,0,22,0,0,0
26,University of Lincoln,593,60,17,206,85,56,135,0,28,0,0,1,2,0,0,3
27,University of Reading,590,18,0,28,104,94,173,19,54,0,1,0,52,0,47,0
28,University of Sheffield,585,171,114,124,29,26,30,0,86,0,0,5,0,0,0,0
29,Royal Holloway University of London,579,112,19,105,112,39,25,0,142,0,0,22,0,0,3,0
30,Coventry University,563,43,0,126,84,53,11,0,109,21,0,57,59,0,0,0
31,Roehampton University,502,28,0,163,127,0,75,0,88,8,0,0,13,0,0,0
32,Imperial College London,499,155,63,128,0,31,75,16,23,3,0,0,0,0,5,0
33,Oxford Brookes University,473,13,0,0,28,107,34,2,202,2,0,74,1,0,10,0
34,University of Salford,455,0,0,186,0,12,185,60,12,0,0,0,0,0,0,0
35,University of Sussex,447,61,6,121,6,0,134,0,106,0,0,10,0,2,1,0
36,Bournemouth University,434,120,0,6,52,0,178,7,71,0,0,0,0,0,0,0
37,Brunel University,429,90,4,21,0,26,0,56,104,0,37,0,59,0,32,0
38,University of Essex,407,95,0,26,24,10,205,0,39,0,0,0,0,2,6,0
39,University of Surrey,386,61,17,142,28,16,68,0,35,0,0,5,4,0,1,9
40,University of Cambridge,367,102,62,71,65,0,44,0,17,0,1,0,5,0,0,0
41,Queens University Belfast,353,127,0,0,0,134,56,0,29,4,3,0,0,0,0,0
42,University of Liverpool,325,4,5,111,4,108,81,0,5,0,0,0,0,0,7,0
43,Heriot Watt University,314,52,1,32,11,53,47,0,118,0,0,0,0,0,0,0
44,Aston University,309,76,0,90,2,3,26,0,93,0,0,0,0,0,7,12
45,University of Abertay Dundee,299,0,1,46,95,43,4,0,110,0,0,0,0,0,0,0
46,University of Glasgow,284,135,20,29,39,8,26,0,0,0,8,19,0,0,0,0
47,University of Chichester,269,133,0,14,21,40,0,0,60,0,0,0,1,0,0,0
48,Liverpool John Moores University,258,36,0,26,0,0,91,0,105,0,0,0,0,0,0,0
49,University of Leicester,238,0,0,45,6,60,109,2,16,0,0,0,0,0,0,0
50,University of Hertfordshire,227,0,0,85,0,12,29,0,56,0,0,6,33,0,0,6
51,Manchester Metropolitan University,223,65,0,10,14,72,6,0,3,7,0,0,0,20,26,0
52,Birmingham City University,215,15,0,17,31,0,126,0,0,21,0,0,1,4,0,0
53,FXU (Falmouth & Exeter Student's Union),212,130,0,5,14,0,24,0,38,0,0,1,0,0,0,0
54,Sheffield Hallam University,209,36,0,16,0,0,55,0,50,0,30,2,0,0,19,1
55,University of Strathclyde,195,129,3,44,0,0,0,0,0,0,0,0,19,0,0,0
56,De Montfort University,190,10,0,160,0,2,0,0,6,2,3,7,0,0,0,0
57,Northumbria University,182,0,12,0,56,17,0,0,70,17,0,0,0,0,10,0
58,Queen Mary University of London,181,0,0,103,0,0,11,0,50,16,0,0,0,0,0,1
59,University of Derby,178,3,0,83,26,0,59,0,4,3,0,0,0,0,0,0
60,University of Edinburgh,176,20,0,0,0,84,29,0,43,0,0,0,0,0,0,0
61,London South Bank University,170,0,0,0,0,0,0,54,42,0,0,19,55,0,0,0
62,University of St Andrews,160,0,43,63,6,0,0,0,48,0,0,0,0,0,0,0
63,Teesside University,150,4,0,0,10,2,75,0,29,0,1,0,0,19,10,0
64,Bangor University,149,21,0,25,17,16,32,8,22,0,5,0,0,0,3,0
65,University of Plymouth,147,0,0,49,52,0,3,0,33,0,10,0,0,0,0,0
66,Aberystwyth University,137,20,0,9,0,17,5,0,83,2,1,0,0,0,0,0
67,University of Northampton,121,28,0,9,14,0,15,15,35,0,3,0,0,0,2,0
68,Glasgow Caledonian University,116,33,0,0,33,21,0,0,25,0,0,0,0,0,4,0
69,University of Westminster,116,7,0,2,10,0,0,0,26,6,20,0,0,3,42,0
70,Oxford University,110,0,0,30,3,0,10,18,28,11,3,0,0,0,7,0
71,University Of Gloucestershire,95,92,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72,City University Of London,89,68,0,0,0,0,0,0,6,0,13,0,2,0,0,0
73,University of Brighton,88,0,0,30,0,25,12,0,0,0,0,0,0,0,21,0
74,University of Stirling,74,0,0,2,0,0,0,0,72,0,0,0,0,0,0,0
75,University of Huddersfield,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,University of the Arts London,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
77,York St John University,59,0,0,5,16,0,26,11,0,0,1,0,0,0,0,0
78,Middlesex University,49,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
79,Anglia Ruskin University,48,0,0,0,0,29,19,0,0,0,0,0,0,0,0,0
80,University of Dundee,48,0,0,5,40,0,0,0,0,0,0,0,0,0,0,3
81,University of Hull,45,0,0,0,13,0,0,0,5,2,0,0,0,25,0,0
82,Cardiff Metropolitan University,43,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0
83,Ulster University,43,0,0,0,5,0,0,0,31,0,0,0,0,0,7,0
84,University Of West London,43,18,0,0,0,3,0,4,18,0,0,0,0,0,0,0
85,Edge Hill University,41,0,0,6,0,15,9,0,0,0,0,0,11,0,0,0
86,University of Sunderland,31,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0
87,University of Bedfordshire,15,0,0,0,2,0,0,0,5,0,1,0,0,0,7,0
88,Leeds Beckett University,12,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0
89,Bath Spa University,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
90,University of Winchester,11,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0
91,University Of Suffolk,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
92,Queen Margaret University,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
93,Leeds Conservatoire,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
94,Leeds Trinity University,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
95,School Of Oriental And African Studies,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
96,University of Greenwich,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
97,Southampton Solent University,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
98,Kingston University,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
