Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash,Valorant,TFT,Racing,UFG
83,Ulster University,43,0,0,0,5,0,0,0,31,0,0,7
84,University Of West London,43,18,0,0,0,3,0,4,18,0,0,0
85,Edge Hill University,41,0,0,6,0,15,9,0,0,0,11,0
86,University of Sunderland,31,0,0,16,0,15,0,0,0,0,0,0
87,University of Bedfordshire,15,0,0,0,2,0,0,1,5,0,0,7
88,Leeds Beckett University,12,0,0,0,4,0,8,0,0,0,0,0
89,Bath Spa University,11,0,0,0,0,0,0,0,11,0,0,0
90,University of Winchester,11,0,0,0,0,0,4,0,0,0,0,7
91,University Of Suffolk,10,0,0,0,0,0,0,0,10,0,0,0
92,Queen Margaret University,8,0,0,8,0,0,0,0,0,0,0,0
93,Leeds Conservatoire,6,4,0,0,1,0,0,1,0,0,0,0
94,Leeds Trinity University,6,0,0,0,0,0,0,0,6,0,0,0
95,School Of Oriental And African Studies,5,0,0,0,0,0,0,0,0,0,0,5
96,University of Greenwich,5,0,0,0,0,0,0,0,0,0,5,0
97,Southampton Solent University,3,0,0,0,0,0,0,0,0,0,3,0
98,Kingston University,1,0,0,0,0,0,0,1,0,0,0,0
