Provisional 2021 Winter BUEC Points Public : Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British University Esports Championship Winter Standings,,,,,,,,,,,,,,,,,,,,CS:GO,,,,,Dota 2,,,,,League of Legends,,,,,Overwatch,,,,,Rainbow 6 Siege,,,,,Rocket league,,,,,Valorant,,,,,Smash Teams,,,,,TFT,,,,,Smash,,,,,BUSR - GT Championship,,,,,BUSR - F1 2021 Championship,,,,,UFG- Melty Blood,,,,,UFG- Guilty Gear Strive,,,,,UFG - Tekken,,133,,,,
,Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash (Teams),Valorant,TFT Oct,Smash Oct,GT Championship,F1 2020 Championship,UFG- Melty,UFG- Guilty,UFG - Tekken,,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,,
,10,University of Bath,797,96,130,183,18,13,124,78,144,0,11,0,0,0,0,0,,,9,Vanix Esports,Staffordshire University,116,,,,,,,Challenger,,,,,9,Warwick Angles,University of Warwick,100,,9,TRENT WARFARE,Nottingham Trent University,100,,2,RocKenteers,University Of Kent,118,,9,Durham Defenders,Durham University,115,,9,Smashampton 1,University of Southampton,46,,9,RSWReece,Manchester Metropolitan University,7,,9,Alexander John Somper,Loughborough University,12,,9,Nathan Carey,Coventry University,17,,9,James King,University of Reading,25,,9,FuNdAmEnTaLs,Swansea University,5,,9,Radifire,Kings College London,17,,,WizeXI,University of Nottingham,6,,,
,11,University College London,788,131,176,207,9,76,0,0,178,10,1,0,0,0,0,0,,,10,Back Six,Queens University Belfast,114,,1,UoP Paladins,University Of Portsmouth,68,,1,Linken shangsheng,University Of Lincoln,116,,10,Bristol Bears Bees Battlestar Galactica,University of Bristol,96,,10,Neocitadel,Newcastle University,96,,3,Lincoln A,University Of Lincoln,115,,,Clark Kent,University Of Kent,115,,10,Brummie Brothers,University of Birmingham,40,,,TheDanchai,University of Southampton,7,,,Biu Wilson,Staffordshire University,12,,10,Harry Spiers,Loughborough University,15,,10,Matthew Agius,University of Kent,24,,10,AlexD8282,University of Warwick,5,,10,LucioFGC,University of Westminster,15,,10,AZYF,Swansea University,4,,,
,12,University of Portsmouth,744,80,68,0,170,29,282,0,94,0,10,11,0,0,0,0,,,11,KCL Lions,Kings College London,112,,2,UWE Sea Stags,University Of The West Of England,60,,2,ViAyeMan,Newcastle University,114,,11,UoB Hades,University of Birmingham,92,,11,Belfast Berserkers,Queens University Belfast,92,,,Bournemouth Stars,Bournemouth University,115,,11,Bath Util Players,University Of Bath,111,,11,Brunel Thunderballs,Brunel University,35,,,CharlieeTFT,University of Bristol,7,,,Fletcher Fanning,University of Kent,12,,11,Kristopher Black,London South Bank University,13,,11,Archie Hodgson,Coventry University,23,,11,Puppyruski,Birmingham City University,4,,,Marcster02,University of Reading,13,,11,Cee,University of Dundee,3,,,
,13,Nottingham Trent University,739,83,23,102,29,120,266,0,51,0,0,25,40,0,0,0,,,12,Newclapped,Newcastle University,110,,3,Cambridge Dota,University Of Cambridge,52,,3,Kardiff Kittens,Cardiff University,111,,12,UWE SeaStags Black,University of The West of England,88,,12,Oxford Brookes Vipers,Oxford Brookes University,88,,5,Durham Defenders,Durham University,109,,,Oxford Brookes Vipers,Oxford Brookes University,111,,12,Great Kent Offensive,University of Kent,32,,,shiny2621,Oxford University,7,,,Greg Tickell,Newcastle University,12,,12,Ewan Train,Durham University,12,,12,James Doherty,University Of York,22,,12,Niisoks,University of East Anglia,4,,12,Gondola,University of Nottingham,12,,,12hakobydeath,University of Lincoln,3,,,
,14,University of East Anglia,731,88,22,62,69,41,253,0,143,0,0,0,11,4,38,0,,,13,UCL Overlords,University College London,108,,4,Lidl gaming,University Of Leeds,47,,,UoL Arctic Foxes,University Of Liverpool,111,,Challenger Bracket,,,,,Challenger Bracket,,,,,,Southampton Saver Menu,University Of Southampton,109,,13,Bombers,Lancaster University,107,,13,UoBabes,University of Birmingham,29,,13,nesstron,Cardiff University,4,,13,Andrew A'Hara,University of Glasgow,8,,13,Pavlo Denysenko,Coventry University,11,,13,Ben Lewis,Loughborough University,21,,13,PXRB,Swansea University,3,,13,CS Goeblin,University of Southampton,11,,,Adelekan,University of Warwick,3,,,
,15,Kings College London,718,160,41,209,19,20,0,0,247,0,0,0,2,0,20,0,,,14,aegisks whizz kidz,University Of York,106,,5,StAGS Dota,University Of St Andrews,43,,5,Royal Bears,Royal Holloway University Of London,105,,1,Coventry Overwatch,Coventry University,84,,1,Edinburgh Eclipse,University of Edinburgh,84,,,UEA Kingfishers,University of East Anglia,109,,,Vanix Esports,Staffordshire University,107,,14,Keele Krakens,Keele University,26,,,BepisLover,Queens University Belfast,4,,,Christopher Niblock,University of Portsmouth,8,,14,C,University of Sussex,10,,14,Kian Osmond,Brunel University,20,,,LucioFGC,University of Westminster,3,,14,Cassaronpa,Northumbria University,10,,14,Iron Fist,Queen Mary University Of London,1,,,
,16,University of Manchester,706,173,0,208,116,9,60,0,100,8,0,21,10,0,0,1,,,15,Bristol Baked Beens,University Of Bristol,104,,6,Imperial Bonobos,Imperial College London,39,,,UCL DJJ,University College London,105,,2,LEEM_OW v2,University of Abertay Dundee,80,,2,Reading Binmen,University of Reading,80,,,Loughborough Lions,Loughborough University,109,,15,Warwick Dire Wolves,University Of Warwick,103,,15,Durham Defenders 2021,Durham University,24,,,Hecksby,Staffordshire University,4,,,Connor Chapman,Staffordshire University,8,,15,Cameron Gold,University of Portsmouth,9,,15,Fraser Nicol,University of Strathclyde,19,,,LUNA,School Of Oriental And African Studies,3,,15,Pryde_and_Wisdom,Oxford University,7,,,ExplosionLord,University of Manchester,1,,,
,17,University of York,701,164,2,66,134,0,200,0,82,0,0,23,23,0,7,0,,,16,Remember the blanket,University Of Chichester,102,,7,Warwick Shmucks,University Of Warwick,35,,,EXE Machina,University Of Exeter,105,,3,Lincoln IMPosters,University of Lincoln,76,,3,UCL Anime Girls,University College London,76,,9,Essex Blades,University Of Essex,101,,,UEA BlueJays,University of East Anglia,103,,16,The Runaway Guys,Brunel University,21,,,Humble,Oxford University,4,,,Tolu Olasupo,Brunel University,8,,16,Oliver Fletcher,Royal Holloway University of London,8,,16,Eryk Jastrzebski,Brunel University,18,,16,Carzle,University Of Sussex,2,,,uncleyaani,Aston University,7,,16,Naarii,Sheffield Hallam University,1,,,
,18,Lancaster University,701,60,116,257,37,0,26,0,151,13,0,2,39,0,0,0,,,,,,,,8,B R I Z B O Y S 2,University Of Bristol,31,,,Surrey Wardens,University Of Surrey,105,,4,Southampsters,University of Southampton,72,,4,Manchester Minotaurs,Manchester Metropolitan University,72,,,Reading Knights,University Of Reading,101,,17,We lost our advanTej,University Of Southampton,99,,17,Reading Knights,University of Reading,19,,17,ROE Zubeda,Roehampton University,2,,17,Alex Veselinov,Sheffield Hallam University,5,,17,Max Grime,Royal Holloway University of London,7,,17,Ryan Gerald,Brunel University,17,,,TENXSEI,Teesside University,2,,,LightningWolf,University Of The West Of England,7,,,,,,,,
,19,University of Nottingham,700,94,90,104,31,28,149,0,146,2,0,10,0,0,40,6,,,1,Durham Defenders,Durham University,100,,9,KCL Lions 2021,Kings College London,28,,9,Grandpa Zileans Not NUEL,University Of Nottingham,97,,5,UEA Bluejays,University of East Anglia,68,,5,Cardiff Crusaders,Cardiff University,68,,,UEA Bluejays,University of East Anglia,101,,,Watt Wyverns,Heriot Watt University,99,,18,OUES Smash,Oxford University,18,,,Yagop,University of Nottingham,2,,,Ammar Saeed,University of Birmingham,5,,18,Eshan Wells,De Montfort University,7,,18,Aidan Bliss,Cardiff University,15,,18,Joker,University Of Essex,2,,,Evalien,University of Bedfordshire,7,,,,,,,,
