watt are you doing,heriot watt university,0
essex esports,university of essex,0
flying scouser,university of liverpool,0
eating huel,coventry university,0
ucrackedl,university college london,0
we_tried,imperial college london,0
warwick w0lves 2,university of warwick,0
qubread,queens university belfast,0
shu money crew,sheffield hallam university,0
team c,brunel university,0
yorkbyte,university of york,0
uwe sea stags orange,university of the west of england,0
uea eagles,university of east anglia,0
durham disasters,durham university,0
pinnk,cardiff university,0
longjohns silvers,loughborough university,0
warwick ducks,university of warwick,150
b r i z b o y s,university of bristol,127
no one is safe,university of southampton,116
ucl instant reflex,university college london,108
lancastervortex,lancaster university,100
blood bath,university of bath,92
durham dog,durham university,84
uop paladins,university of portsmouth,76
kcl lions 2021,kings college london,68
cambridge dota,university of cambridge,60
imperial bonobos,imperial college london,52
warwick shmucks,university of warwick,47
sheffield shockwave,university of sheffield,43
xd,university of nottingham,39
stags dota,university of st andrews,35
surrey_rubix,university of surrey,31
sheffield samurai,university of sheffield,28
bangor_brewmasters,bangor university,27
lidl gaming,university of leeds,26
uwe sea stags,university of the west of england,24
bluejays uea,university of east anglia,23
trent thunder dota pink,nottingham trent university,22
uni of glasgow,university of glasgow,20
ucl aftershock,university college london,19
sussy sharks,university of sussex,18
royal bears,royal holloway university of london,17
simperial,imperial college london,16
skybath mages,university of bath,15
brums of endurance,university of birmingham,14
swasnea vibe,swansea university,13
b r i z b o y s 2,university of bristol,12
sand kings college 2021,kings college london,11
maxs team,university of liverpool,10
notverypoggers,university of nottingham,9
cardiff immortals,cardiff university,8
strathclyde stranglers,university of strathclyde,7
staffordshire stampede,staffordshire university,6
northumbria vikings dota,northumbria university,6
lancasterhurricane,lancaster university,5
xero tolerance for year 2,university of warwick,5
lincolns sphere,university of lincoln,4
notidehunterpls,university of lincoln,4
exeter 2022,university of exeter,3
cambridge university noob team,university of cambridge,3
watt wyverns,heriot watt university,2
sheffield shrimp sashimi with soy sauce,university of sheffield,2
cardiff crusaders ii,cardiff university,1
team hades,university of abertay dundee,1
found the ward,brunel university,0
lsu dota,loughborough university,0
team hair transplant reborn,university of york,0
dmu t1,de montfort university,145
ed edd n eddy,university of birmingham,132.5
vanix black temp,staffordshire university,123
linken shangsheng,university of lincoln,123
uom t1,university of manchester,115
grandpa zileans not nuel,university of nottingham,111
university of leeds,university of leeds,105
uol arctic foxes,university of liverpool,105
keele krakens,keele university,97
the durham defenders,durham university,97
whats nse,university of sheffield,91
mmu minotaurs team 1,manchester metropolitan university,87
nacl reformed,newcastle university,81
salty slugs,university of sheffield,81
watt wyverns,heriot watt university,69
bingbingbang,keele university,69
lancaster retirement home,lancaster university,69
mad men,university of leeds,69
staffordshire london rampage,staffordshire university,59
trentthunderpink,nottingham trent university,55
astonapeslol,aston university,50
already washed up,loughborough university,50
viayeman,newcastle university,44
isthisnuel,university of derby,44
the salford lions,university of salford,44
uea bluejays v2,university of east anglia,44
strathclyde,university of strathclyde,39
uoy team1,university of york,37
bsu,lancaster university,34
degen g,university of leicester,34
the krusty krab,university of manchester,29
mighty novelty crabs,sheffield hallam university,29
salad fingers,university of salford,29
monkey noises,loughborough university,29
kfc,lancaster university,27
st andrews university gaming mega allies,university of st andrews,26
naajun bad boys,university of birmingham,26
vanix esports pink,staffordshire university,26
ceos,sheffield hallam university,24
dondadedondaiputitinthehonda,university of glasgow,24
team implode,university of lincoln,24
aston archangels,aston university,24
northumbria vikings,northumbria university,22
bang tidy,bangor university,21
abertay jade,university of abertay dundee,20
three imposters,edge hill university,20
smeg hill lol,edge hill university,19
ncl gamers,newcastle university,19
uea hawks v2,university of east anglia,19
hull hornets,university of hull,19
lancaster minions x,lancaster university,17
ivern republic of birmingham,university of birmingham,17
sheffilled,university of sheffield,16
ladcaster,lancaster university,16
derby raptors team 2,university of derby,15
durham dairylea dunkers,durham university,15
xlerated lemons,loughborough university,14
falmouth phoenix,fxu (falmouth & exeter student's union),14
jonnys juicers,university of lincoln,13
parent diff,university of leeds,13
jungle gap,liverpool john moores university,12
dmu t2,de montfort university,12
l9,university of leicester,11
vicious vipers,university of manchester,11
0161 dons,university of manchester,10
wife buff is debuff,university of leeds,10
still rampaging,staffordshire university,9
durham deez nuts white,durham university,9
uoy 4th,university of york,8
freaks and geeks,university of york,8
trent thunder blue,nottingham trent university,7
trentthunder green,nottingham trent university,7
first flash,university of st andrews,6
abertay lads,university of abertay dundee,6
durham disasters,durham university,6
t1 eboracum esports ysj,york st john university,6
why,university of york,5
open,birmingham city university,5
beans,university of manchester,5
dont jinx it,university of leeds,4
nottingham esp,university of nottingham,4
gta,lancaster university,4
sunderlandsimpstompers,university of sunderland,4
uomt3,university of manchester,3
monarchs,queen margaret university,3
mmu minotaur team 2,manchester metropolitan university,3
needlessly large rods,university of nottingham,3
thicc frost irelia,university of liverpool,2
speelings esports academy mark ii,keele university,2
gsocs battle academia,university of stirling,2
raw pasta enjoyers,nottingham trent university,2
widepeepohappy,university of lincoln,1
huddersfield houndz,university of huddersfield,1
w w watts going on on,heriot watt university,1
